school_id,school_name,street_address,city,state_code,zip_code,locale_code,pct_proficient_math,pct_proficient_reading,pct_white,pct_black,pct_asian,pct_hispanic,pct_amerindian,pct_nativehawaii,pct_tworaces
10000500871,Albertville High Sch,402 E McCord Ave,Albertville,AL,35950,32,16.999999,54.000001,64.9018,2.0495,0.5978,31.4261,0.1708,0,0.854
10000600878,Douglas High Sch,225 Eagle Drive,Douglas,AL,35964,42,12,51.999999,74.2373,1.5254,0.5085,23.0508,0.678,0,0
10000600883,Kate D Smith DAR High Sch,6077 Main St,Grant,AL,35747,42,22,72,97.0588,0.6303,0.2101,1.6807,0,0,0.4202
10000601585,Brindlee Mt High Sch,994 Scant City Road,Guntersville,AL,35976,41,21.999999,57,93.531,1.6173,0.5391,3.7736,0.2695,0,0.2695
10000700251,Hoover High Sch,1000 Buccaneer Drive,Hoover,AL,35244,13,39.999998,75,57.5275,28.4803,6.3762,4.5696,0,0.0708,2.9756
10000701456,Spain Park High Sch,4700 Jaguar Drive,Hoover,AL,35242,13,47,80.000001,64.7416,23.5258,5.228,4.1945,0,0.2432,2.0669
10000800831,Bob Jones High Sch,650 Hughes Rd,Madison,AL,35758,21,51.999999,81.000001,64.2442,21.5698,7.8488,3.314,0.7558,0.3488,1.9186
10000802198,James Clemens High School,11306 County Line Road,Madison,AL,35758,21,48.999999,78,64.375,22.6875,6.625,3.9375,0.1875,0.125,2.0625
10001102096,Leeds High Sch,1500 Greenwave Drive,Leeds,AL,35094,21,17,72,52.3207,30.5907,1.0549,11.1814,0.211,0,4.6414
10001200874,Boaz High Sch,907 Brown St,Boaz,AL,35957,32,17,52.000002,80.4487,1.6026,1.1218,14.9038,0.8013,0.1603,0.9615
10001301682,Hewitt-Trussville High Sch,6450 Husky Parkway,Trussville,AL,35173,41,42.000001,81.999997,83.8946,11.6398,2.1962,1.1713,0.0732,0,1.0249
10003000003,Benjamin Russell High Sch,225 Heard Blvd,Alexander City,AL,35010,32,27,61.999999,59.0349,37.577,0.7187,2.2587,0,0,0.4107
10006000007,Andalusia High Sch,701 Third St,Andalusia,AL,36420,33,26.999998,57.000001,58.7891,37.1094,1.7578,0.9766,0,0,1.3672
10009000011,Anniston High Sch,1301 Woodstock Ave,Anniston,AL,36207,13,2.5,32,2.7778,94.8413,0,2.381,0,0,0
10010000028,Arab High Sch,511 Arabian Dr NE,Arab,AL,35016,41,37.000001,76.999998,96.7703,0.2392,0.9569,1.6746,0.2392,0,0.1196
10012001472,Athens High Sch,100 Highway 31 N,Athens,AL,35611,31,27,67,58.6889,27.4714,1.9771,11.0302,0.3122,0.2081,0.3122
10018000033,Etowah High Sch,201 Case Ave.,Attalla,AL,35954,23,12,62.000001,76.4624,13.9276,0,6.1281,0,0,3.4819
10018502137,Saraland High Sch,1115 Industrial Parkway,Saraland,AL,36571,21,22,72,81.0783,15.056,0.5086,1.3225,1.0173,0.1017,0.9156
10018902195,Satsuma City High School,1 Gator Circle,Satsuma,AL,36572,21,26.999999,77.000002,87.2894,9.4946,0.3063,0.9188,1.6845,0,0.3063
10019001183,Thompson High School,100 Warrior Dr,Alabaster,AL,35007,21,20,60.999999,64.5647,20.3125,1.1719,12.7232,0.1116,0,1.1161
10019402399,Pelham High School,2500 Panther Cir,Pelham,AL,35124,21,22,72.000004,59.5745,14.1489,3.0851,22.766,0.2128,0,0.2128
10021000036,Auburn High Sch,405 S Dean Rd,Auburn,AL,36830,13,46.000002,71.000001,57.7123,27.3252,10.3986,3.004,0.2889,0,1.2709
10024000046,Marbury Sch,2360 Highway 31 North,Deatsville,AL,36022,41,22,56.999999,81.9897,15.6089,0.3431,1.2007,0.1715,0,0.6861
10024000048,Prattville High Sch,1315 Upper Kingston Rd,Prattville,AL,36067,41,33.000001,70,68.878,24.4878,2.439,2.6829,0.3415,0.0488,1.122
10027000024,Robertsdale High Sch,21630 Highway 59 South,Robertsdale,AL,36567,31,17,57,82.7116,10.1148,0.7891,4.5194,0.8608,0,1.0043
10027000100,Fairhope High Sch,18800 Greeno Rd,Fairhope,AL,36532,13,46.000001,76,86.2491,8.305,0.885,3.1314,0.8169,0.0681,0.5446
10027000641,Gulf Shores High Sch,600 E 15th Ave,Gulf Shores,AL,36542,41,26.999999,71.999998,93.5853,1.1455,1.8328,2.4055,0.3436,0,0.6873
10027001759,Daphne High Sch,9300 Champions Way,Daphne,AL,36526,13,25.999999,68,70.2024,22.1053,2.1862,3.5628,0.4858,0,1.4575
10027001784,Foley High Sch,1 Pride Pl,Foley,AL,36535,31,15,52.000001,70.352,15.9516,0.275,11.0011,0.385,0,2.0352
10027001810,Baldwin Co High Sch,One Tiger Dr,Bay Minette,AL,36507,41,12,47,67.6949,27.5921,0.5141,0.7712,1.8852,0,1.5424
10027002073,Spanish Fort High Sch,One Plaza De Toros,Spanish Fort,AL,36527,41,36.999999,72.000002,82.9291,10.541,1.1194,3.4515,0.7463,0.4664,0.7463
